股票代码,数据点数,预测状态,错误信息,当前价格,预测1天,预测涨跌幅(%),信心度,建议,建议信心度,建议评分
600326,243,成功,,11.44,12.03,5.17,0.92,少量卖出,中等,-3
600380,243,成功,,12.11,12.21,0.85,0.99,买入,较高,3
600487,243,成功,,20.0,20.58,2.88,0.94,少量买入,中等,1
600498,243,成功,,22.78,22.52,-1.16,0.99,少量买入,中等,0
601288,243,成功,,8.22,8.33,1.37,0.99,少量买入,中等,1
601606,243,成功,,55.15,52.94,-4.01,0.93,少量买入,中等,1
603366,243,成功,,11.58,11.92,2.94,0.97,买入,较高,3
603936,243,成功,,10.69,11.1,3.81,0.93,少量买入,中等,1
000066,243,成功,,15.87,15.95,0.52,0.97,少量买入,中等,1
000532,243,成功,,14.14,14.1,-0.3,1.0,少量卖出,中等,-2
000713,243,成功,,7.06,7.12,0.82,0.99,少量买入,中等,1
002174,243,成功,,11.83,11.92,0.73,0.98,少量买入,中等,1
002328,243,成功,,6.7,6.66,-0.55,0.98,买入,较高,2
002624,243,成功,,15.1,15.19,0.63,0.98,少量买入,中等,0
002878,243,成功,,20.88,20.72,-0.76,0.96,买入,较高,2
600036,243,成功,,43.22,43.38,0.36,0.99,买入,较高,3
