股票代码,数据点数,预测状态,错误信息,当前价格,预测1天,预测涨跌幅(%),信心度,建议,建议信心度,建议评分
600326,243,成功,,12.54,12.41,-1.05,0.98,少量买入,中等,1
600380,243,成功,,12.44,12.36,-0.65,0.98,观望,谨慎,-1
600487,243,成功,,21.37,21.57,0.95,0.99,少量买入,中等,1
600498,243,成功,,24.08,24.14,0.23,0.98,观望,谨慎,-1
601288,243,成功,,8.12,8.06,-0.77,0.99,少量买入,中等,1
601606,243,成功,,48.07,49.01,1.96,0.95,少量买入,中等,1
603366,243,成功,,9.81,9.95,1.4,0.99,买入,较高,2
603936,243,成功,,11.95,12.0,0.45,0.99,少量卖出,中等,-2
000066,243,成功,,16.2,16.26,0.36,0.99,少量买入,中等,0
000532,243,成功,,14.76,14.93,1.12,0.99,少量买入,中等,1
000713,243,成功,,7.05,7.06,0.19,0.99,少量买入,中等,0
002174,243,成功,,12.54,12.5,-0.35,0.98,买入,较高,2
002328,243,成功,,6.81,6.74,-0.96,0.98,少量买入,中等,0
002624,243,成功,,15.77,16.22,2.85,0.95,少量买入,中等,0
002878,243,成功,,18.58,18.83,1.32,0.99,少量买入,中等,0
600036,243,成功,,42.85,43.02,0.39,0.99,买入,较高,2
