open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,timestamps
9.06,9.06,9.06,9.06,0.0,0.0,585,530010.0,0.0,0.0,2025-12-04 14:00:00
9.06,9.06,9.06,9.06,0.0,0.0,551,499206.0,0.0,0.0,2025-12-04 14:05:00
9.06,9.06,9.06,9.06,0.0,0.0,809,732954.0,0.0,0.0,2025-12-04 14:10:00
9.06,9.06,9.06,9.06,0.0,0.0,290,262740.0,0.0,0.0,2025-12-04 14:15:00
9.06,9.06,9.06,9.06,0.0,0.0,335,303510.0,0.0,0.0,2025-12-04 14:20:00
9.06,9.06,9.06,9.06,0.0,0.0,252,228312.0,0.0,0.0,2025-12-04 14:25:00
9.06,9.06,9.06,9.06,0.0,0.0,365,330690.0,0.0,0.0,2025-12-04 14:30:00
9.06,9.06,9.06,9.06,0.0,0.0,467,423102.0,0.0,0.0,2025-12-04 14:35:00
9.06,9.06,9.06,9.06,0.0,0.0,193,174858.0,0.0,0.0,2025-12-04 14:40:00
9.06,9.06,9.06,9.06,0.0,0.0,746,675876.0,0.0,0.0,2025-12-04 14:45:00
9.06,9.06,9.06,9.06,0.0,0.0,1270,1150620.0,0.0,0.01,2025-12-04 14:50:00
9.06,9.06,9.06,9.06,0.0,0.0,506,458436.0,0.0,0.0,2025-12-04 14:55:00
9.06,9.06,9.06,9.06,0.0,0.0,2095,1898070.0,0.0,0.01,2025-12-04 15:00:00
9.06,8.42,9.34,8.4,-7.06,-0.64,233708,209399874.0,10.38,1.03,2025-12-05 09:35:00
8.42,8.49,8.64,8.36,0.83,0.07,60445,51377335.0,3.33,0.27,2025-12-05 09:40:00
8.49,8.4,8.5,8.38,-1.06,-0.09,40488,34161719.0,1.41,0.18,2025-12-05 09:45:00
8.4,8.48,8.53,8.38,0.95,0.08,23636,19936315.0,1.79,0.1,2025-12-05 09:50:00
8.48,8.44,8.51,8.4,-0.47,-0.04,16360,13803189.0,1.3,0.07,2025-12-05 09:55:00
8.44,8.44,8.45,8.4,0.0,0.0,18766,15791771.0,0.59,0.08,2025-12-05 10:00:00
8.45,8.41,8.45,8.39,-0.36,-0.03,16900,14209855.0,0.71,0.07,2025-12-05 10:05:00
8.42,8.39,8.42,8.38,-0.24,-0.02,14696,12337781.0,0.48,0.06,2025-12-05 10:10:00
8.38,8.31,8.39,8.26,-0.95,-0.08,35862,29807534.0,1.55,0.16,2025-12-05 10:15:00
8.32,8.31,8.33,8.28,0.0,0.0,15188,12605029.0,0.6,0.07,2025-12-05 10:20:00
8.3,8.33,8.35,8.29,0.24,0.02,11851,9858278.0,0.72,0.05,2025-12-05 10:25:00
8.33,8.31,8.33,8.3,-0.24,-0.02,8606,7155480.0,0.36,0.04,2025-12-05 10:30:00
8.31,8.35,8.35,8.3,0.48,0.04,9798,8165822.0,0.6,0.04,2025-12-05 10:35:00
8.35,8.39,8.42,8.34,0.48,0.04,9945,8345189.0,0.96,0.04,2025-12-05 10:40:00
8.39,8.37,8.4,8.36,-0.24,-0.02,6397,5357566.0,0.48,0.03,2025-12-05 10:45:00
8.38,8.33,8.4,8.32,-0.48,-0.04,8396,7016843.0,0.96,0.04,2025-12-05 10:50:00
8.33,8.32,8.34,8.31,-0.12,-0.01,9508,7916889.0,0.36,0.04,2025-12-05 10:55:00
8.32,8.31,8.32,8.31,-0.12,-0.01,5136,4271268.0,0.12,0.02,2025-12-05 11:00:00
8.32,8.37,8.37,8.31,0.72,0.06,5351,4461878.0,0.72,0.02,2025-12-05 11:05:00
8.37,8.34,8.37,8.33,-0.36,-0.03,7203,6010047.0,0.48,0.03,2025-12-05 11:10:00
8.34,8.33,8.35,8.33,-0.12,-0.01,5225,4355148.0,0.24,0.02,2025-12-05 11:15:00
8.33,8.36,8.37,8.33,0.36,0.03,4733,3954590.0,0.48,0.02,2025-12-05 11:20:00
8.36,8.34,8.37,8.33,-0.24,-0.02,6337,5288660.0,0.48,0.03,2025-12-05 11:25:00
