股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
601288,6.88,7.13,7.13,6.83,6013888,4224621189.0,4.34,3.18,0.22,0.19,2025-10-14
601288,7.11,7.27,7.3,7.08,5241690,3779542593.0,3.09,1.96,0.14,0.16,2025-10-15
601288,7.25,7.49,7.5,7.23,5322543,3929947725.0,3.71,3.03,0.22,0.17,2025-10-16
601288,7.49,7.62,7.69,7.47,6031331,4575465343.0,2.94,1.74,0.13,0.19,2025-10-17
601288,7.54,7.75,7.76,7.42,5617048,4294455486.0,4.46,1.71,0.13,0.18,2025-10-20
601288,7.75,7.88,7.89,7.68,5060674,3946308013.0,2.71,1.68,0.13,0.16,2025-10-21
601288,7.87,8.09,8.1,7.82,4945185,3949555770.0,3.55,2.66,0.21,0.15,2025-10-22
601288,8.09,7.99,8.27,7.9,7135200,5749085935.0,4.57,-1.24,-0.1,0.22,2025-10-23
601288,7.85,7.99,8.07,7.85,5059120,4045372039.0,2.75,0.0,0.0,0.16,2025-10-24
601288,7.92,8.18,8.2,7.9,5220102,4217814928.0,3.75,2.38,0.19,0.16,2025-10-27
601288,8.18,8.31,8.34,8.17,4465375,3691972448.0,2.08,1.59,0.13,0.14,2025-10-28
601288,8.3,8.15,8.3,8.11,4064518,3328852190.0,2.29,-1.93,-0.16,0.13,2025-10-29
601288,8.1,8.06,8.24,8.03,3702255,3005587296.0,2.58,-1.1,-0.09,0.12,2025-10-30
601288,8.05,7.96,8.07,7.86,3828627,3035832303.0,2.61,-1.24,-0.1,0.12,2025-10-31
601288,7.94,8.01,8.06,7.88,2718393,2175462418.0,2.26,0.63,0.05,0.09,2025-11-03
601288,8.01,8.15,8.22,8.0,3740842,3046467432.0,2.75,1.75,0.14,0.12,2025-11-04
601288,8.18,8.18,8.23,8.07,3454364,2820034099.0,1.96,0.37,0.03,0.11,2025-11-05
601288,8.13,8.16,8.18,8.06,2600820,2111488870.0,1.47,-0.24,-0.02,0.08,2025-11-06
601288,8.18,8.08,8.28,8.08,2942053,2397778281.0,2.45,-0.98,-0.08,0.09,2025-11-07
601288,8.06,8.12,8.12,8.0,1733782,1399755264.0,1.49,0.5,0.04,0.05,2025-11-10
