open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,timestamps
131.0,131.24,131.44,130.94,0.15,0.2,8572,112491375.0,0.38,0.04,2025-10-30 10:30:00
131.22,131.67,131.67,131.2,0.33,0.43,9571,125860182.0,0.36,0.05,2025-10-30 10:35:00
131.66,130.97,131.87,130.92,-0.53,-0.7,8940,117463192.0,0.72,0.04,2025-10-30 10:40:00
130.95,130.8,131.22,130.8,-0.13,-0.17,6234,81669125.0,0.32,0.03,2025-10-30 10:45:00
130.8,131.28,131.66,130.8,0.37,0.48,5783,75923551.0,0.66,0.03,2025-10-30 10:50:00
131.35,130.98,131.5,130.97,-0.23,-0.3,4837,63459799.0,0.4,0.02,2025-10-30 10:55:00
130.98,130.99,131.18,130.9,0.01,0.01,4745,62154839.0,0.21,0.02,2025-10-30 11:00:00
131.0,131.0,131.29,130.9,0.01,0.01,4816,63117098.0,0.3,0.02,2025-10-30 11:05:00
130.98,130.61,130.99,130.58,-0.3,-0.39,6681,87333867.0,0.31,0.03,2025-10-30 11:10:00
130.68,130.31,130.9,130.2,-0.23,-0.3,10112,131897580.0,0.54,0.05,2025-10-30 11:15:00
130.32,130.65,130.85,130.32,0.26,0.34,5408,70638677.0,0.41,0.03,2025-10-30 11:20:00
130.63,130.79,130.98,130.31,0.11,0.14,6118,79913744.0,0.51,0.03,2025-10-30 11:25:00
130.5,129.65,130.5,129.35,-0.67,-0.87,20423,265128913.0,0.88,0.1,2025-10-30 13:05:00
129.65,130.03,130.46,129.5,0.29,0.38,12166,158071543.0,0.74,0.06,2025-10-30 13:10:00
129.96,129.55,129.96,129.0,-0.37,-0.48,24575,317481474.0,0.74,0.12,2025-10-30 13:15:00
129.56,130.99,131.0,129.24,1.11,1.44,21154,275502226.0,1.36,0.11,2025-10-30 13:20:00
131.0,130.0,131.08,129.75,-0.76,-0.99,13660,177853692.0,1.02,0.07,2025-10-30 13:25:00
130.0,130.11,130.19,129.85,0.08,0.11,9619,125061747.0,0.26,0.05,2025-10-30 13:30:00
130.1,129.92,130.11,129.86,-0.15,-0.19,6922,89968619.0,0.19,0.03,2025-10-30 13:35:00
129.9,130.6,130.65,129.89,0.52,0.68,8183,106597498.0,0.58,0.04,2025-10-30 13:40:00
130.59,130.16,130.64,130.15,-0.34,-0.44,6916,90147708.0,0.38,0.03,2025-10-30 13:45:00
130.21,130.0,130.25,129.88,-0.12,-0.16,9063,117810246.0,0.28,0.05,2025-10-30 13:50:00
129.98,130.19,130.25,129.96,0.15,0.19,5634,73280172.0,0.22,0.03,2025-10-30 13:55:00
130.08,130.0,130.16,129.9,-0.15,-0.19,4926,64038649.0,0.2,0.02,2025-10-30 14:00:00
130.0,129.68,130.08,129.68,-0.25,-0.32,7764,100848425.0,0.31,0.04,2025-10-30 14:05:00
129.68,129.41,129.75,129.29,-0.21,-0.27,12462,161342718.0,0.35,0.06,2025-10-30 14:10:00
129.41,129.26,129.6,129.22,-0.12,-0.15,10258,132711353.0,0.29,0.05,2025-10-30 14:15:00
129.23,129.21,129.36,129.06,-0.04,-0.05,11104,143431843.0,0.23,0.06,2025-10-30 14:20:00
129.2,129.42,129.49,129.02,0.16,0.21,11362,146731534.0,0.36,0.06,2025-10-30 14:25:00
129.46,129.1,129.46,129.0,-0.25,-0.32,13802,178163745.0,0.36,0.07,2025-10-30 14:30:00
129.09,129.2,129.42,129.09,0.08,0.1,10971,141826038.0,0.26,0.05,2025-10-30 14:35:00
129.2,129.12,129.3,129.03,-0.06,-0.08,9504,122749891.0,0.21,0.05,2025-10-30 14:40:00
129.12,128.92,129.15,128.92,-0.15,-0.2,22433,289449435.0,0.18,0.11,2025-10-30 14:45:00
128.91,128.9,129.08,128.89,-0.02,-0.02,22982,296412923.0,0.15,0.11,2025-10-30 14:50:00
128.88,128.81,129.27,128.76,-0.07,-0.09,26211,337863211.0,0.4,0.13,2025-10-30 14:55:00
128.81,128.55,128.81,128.51,-0.2,-0.26,23691,304716644.0,0.23,0.12,2025-10-30 15:00:00
