股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
002497,13.61,14.13,14.29,13.57,461100,646449377.41,5.26,3.21,0.44,4.36,2025-09-24
002497,14.06,14.09,14.37,14.04,355565,505085020.51,2.34,-0.28,-0.04,3.36,2025-09-25
002497,14.03,14.06,14.36,13.99,334043,472493310.2,2.63,-0.21,-0.03,3.16,2025-09-26
002497,14.05,14.7,14.79,14.03,820837,1191155243.44,5.41,4.55,0.64,7.75,2025-09-29
002497,14.7,14.87,14.95,14.52,531097,785577477.64,2.93,1.16,0.17,5.02,2025-09-30
002497,15.16,15.08,15.36,14.86,644078,973449800.51,3.36,1.41,0.21,6.08,2025-10-09
002497,15.0,15.19,15.49,14.76,672326,1015314082.83,4.84,0.73,0.11,6.35,2025-10-10
002497,14.55,15.49,15.52,14.55,563333,854342331.53,6.39,1.97,0.3,5.32,2025-10-13
002497,15.76,14.97,15.79,14.93,464952,711945139.17,5.55,-3.36,-0.52,4.39,2025-10-14
002497,15.66,15.58,15.74,15.19,628947,973038831.96,3.67,4.07,0.61,5.94,2025-10-15
002497,15.33,16.12,16.35,15.31,782996,1255238784.54,6.68,3.47,0.54,7.4,2025-10-16
002497,15.91,15.85,16.62,15.78,571010,920834760.08,5.21,-1.67,-0.27,5.39,2025-10-17
002497,16.0,16.38,16.74,15.81,708747,1152756166.07,5.87,3.34,0.53,6.7,2025-10-20
002497,16.22,16.13,16.3,15.92,425234,684232528.84,2.32,-1.53,-0.25,4.02,2025-10-21
002497,16.02,15.67,16.03,15.47,407854,640458077.31,3.47,-2.85,-0.46,3.85,2025-10-22
002497,15.53,16.25,16.33,15.53,509717,819065948.66,5.11,3.7,0.58,4.82,2025-10-23
002497,16.42,17.88,17.88,16.42,1264083,2243254588.02,8.98,10.03,1.63,11.94,2025-10-24
