股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
600498,26.9,25.24,27.18,25.09,591058,1534573171.0,7.78,-6.0,-1.61,4.99,2025-10-14
600498,25.35,26.25,26.88,25.29,643847,1689127382.0,6.3,4.0,1.01,5.43,2025-10-15
600498,26.38,26.62,27.15,26.04,579614,1546902631.0,4.23,1.41,0.37,4.89,2025-10-16
600498,27.15,25.55,27.29,25.51,470607,1235458191.0,6.69,-4.02,-1.07,3.97,2025-10-17
600498,25.9,25.83,26.6,25.57,348638,906667548.0,4.03,1.1,0.28,2.94,2025-10-20
600498,25.66,26.15,26.39,25.49,381088,991382246.0,3.48,1.24,0.32,3.22,2025-10-21
600498,25.96,25.67,25.99,25.57,250679,645757509.0,1.61,-1.84,-0.48,2.12,2025-10-22
600498,25.6,25.1,25.66,24.45,383304,950139913.0,4.71,-2.22,-0.57,3.24,2025-10-23
600498,25.33,25.56,25.66,25.2,348507,888385223.0,1.83,1.83,0.46,2.94,2025-10-24
600498,25.71,26.25,26.4,25.71,413974,1083390116.0,2.7,2.7,0.69,3.49,2025-10-27
600498,26.13,26.24,26.52,26.08,325996,856829022.0,1.68,-0.04,-0.01,2.75,2025-10-28
600498,26.35,26.25,26.46,25.91,285555,747805689.0,2.1,0.04,0.01,2.41,2025-10-29
600498,26.49,25.09,26.49,25.0,538411,1371270453.0,5.68,-4.42,-1.16,4.54,2025-10-30
600498,25.1,24.31,25.15,24.26,483008,1186088112.0,3.55,-3.11,-0.78,4.08,2025-10-31
600498,24.19,24.28,24.31,23.85,282718,680602290.0,1.89,-0.12,-0.03,2.39,2025-11-03
600498,24.28,23.81,24.28,23.6,253369,605255215.0,2.8,-1.94,-0.47,2.14,2025-11-04
600498,23.5,23.76,23.93,23.42,203932,483298820.0,2.14,-0.21,-0.05,1.72,2025-11-05
600498,23.86,24.25,24.26,23.79,349571,843381470.0,1.98,2.06,0.49,2.95,2025-11-06
600498,24.1,24.33,24.44,23.92,288281,697637783.0,2.14,0.33,0.08,2.43,2025-11-07
600498,24.33,24.08,24.61,23.91,261661,632644404.0,2.88,-1.03,-0.25,2.21,2025-11-10
