timestamps,open,high,low,close,volume,Dividends,Stock Splits
2025-10-14 00:00:00+08:00,8.899999618530273,9.34000015258789,8.65999984741211,8.699999809265137,105991019,0.0,0.0
2025-10-15 00:00:00+08:00,8.649999618530273,8.979999542236328,8.5600004196167,8.829999923706055,76807859,0.0,0.0
2025-10-16 00:00:00+08:00,8.760000228881836,8.800000190734863,8.420000076293945,8.460000038146973,61595574,0.0,0.0
2025-10-17 00:00:00+08:00,8.460000038146973,8.479999542236328,7.929999828338623,7.96999979019165,53678900,0.0,0.0
2025-10-20 00:00:00+08:00,8.050000190734863,8.100000381469727,7.820000171661377,7.960000038146973,38438838,0.0,0.0
2025-10-21 00:00:00+08:00,7.929999828338623,8.149999618530273,7.900000095367432,8.079999923706055,34747774,0.0,0.0
2025-10-22 00:00:00+08:00,8.069999694824219,8.25,8.010000228881836,8.1899995803833,38204187,0.0,0.0
2025-10-23 00:00:00+08:00,8.020000457763672,8.210000038146973,7.599999904632568,8.199999809265137,59963252,0.0,0.0
2025-10-24 00:00:00+08:00,8.180000305175781,8.220000267028809,8.079999923706055,8.170000076293945,37353698,0.0,0.0
2025-10-27 00:00:00+08:00,8.220000267028809,8.359999656677246,8.170000076293945,8.300000190734863,36847935,0.0,0.0
2025-10-28 00:00:00+08:00,8.260000228881836,8.460000038146973,8.220000267028809,8.359999656677246,37624200,0.0,0.0
2025-10-29 00:00:00+08:00,8.319999694824219,8.449999809265137,8.300000190734863,8.420000076293945,28600647,0.0,0.0
2025-10-30 00:00:00+08:00,9.260000228881836,9.260000228881836,9.260000228881836,9.260000228881836,24297002,0.0,0.0
2025-10-31 00:00:00+08:00,9.25,9.25,8.630000114440918,8.710000038146973,137473866,0.0,0.0
2025-11-03 00:00:00+08:00,9.350000381469727,9.579999923706055,9.350000381469727,9.579999923706055,49310250,0.0,0.0
2025-11-04 00:00:00+08:00,10.329999923706055,10.539999961853027,9.899999618530273,10.539999961853027,248199814,0.0,0.0
2025-11-05 00:00:00+08:00,10.199999809265137,11.5,10.199999809265137,10.579999923706055,256062230,0.0,0.0
2025-11-06 00:00:00+08:00,10.489999771118164,11.1899995803833,10.199999809265137,10.649999618530273,209158093,0.0,0.0
2025-11-07 00:00:00+08:00,10.210000038146973,11.720000267028809,10.199999809265137,11.720000267028809,264648979,0.0,0.0
2025-11-10 00:00:00+08:00,11.319999694824219,12.100000381469727,10.979999542236328,11.619999885559082,219016121,0.0,0.0
