股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
600326,10.98,11.21,11.22,10.95,279170,309846263.0,2.45,1.82,0.2,2.05,2025-11-28
600326,11.2,11.2,11.26,11.14,225123,251927290.0,1.07,-0.09,-0.01,1.65,2025-12-01
600326,11.17,11.16,11.29,11.03,262578,292506711.0,2.32,-0.36,-0.04,1.93,2025-12-02
600326,11.09,10.96,11.15,10.92,291941,321129114.0,2.06,-1.79,-0.2,2.14,2025-12-03
600326,10.96,10.83,11.0,10.77,249133,270226552.0,2.1,-1.19,-0.13,1.83,2025-12-04
600326,10.88,11.03,11.06,10.77,251915,275526233.0,2.68,1.85,0.2,1.85,2025-12-05
600326,11.03,11.05,11.1,11.01,226375,250053232.0,0.82,0.18,0.02,1.66,2025-12-08
600326,11.03,10.92,11.07,10.9,230473,252796135.0,1.54,-1.18,-0.13,1.69,2025-12-09
600326,10.89,11.06,11.08,10.83,258942,284762991.0,2.29,1.28,0.14,1.9,2025-12-10
600326,11.03,10.83,11.06,10.81,242014,263795543.0,2.26,-2.08,-0.23,1.78,2025-12-11
600326,10.78,10.82,10.95,10.77,172295,186943562.0,1.66,-0.09,-0.01,1.26,2025-12-12
600326,10.8,11.01,11.21,10.79,461602,510730403.0,3.88,1.76,0.19,3.39,2025-12-15
600326,10.95,10.7,11.0,10.66,371694,400101667.0,3.09,-2.82,-0.31,2.73,2025-12-16
600326,10.7,10.76,10.78,10.53,280073,298354302.0,2.34,0.56,0.06,2.06,2025-12-17
600326,10.7,10.7,10.83,10.67,194867,209620770.0,1.49,-0.56,-0.06,1.43,2025-12-18
600326,10.7,10.83,10.85,10.67,248041,267409190.0,1.68,1.21,0.13,1.82,2025-12-19
600326,10.85,10.92,10.97,10.85,221256,241723974.0,1.11,0.83,0.09,1.62,2025-12-22
600326,10.9,10.92,11.03,10.85,233817,255647738.0,1.65,0.0,0.0,1.72,2025-12-23
600326,10.88,11.14,11.21,10.88,515081,573230271.0,3.02,2.01,0.22,3.78,2025-12-24
600326,11.2,11.33,11.38,11.05,356413,399351400.0,2.96,1.71,0.19,2.62,2025-12-25
