open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,timestamps
22.51,22.49,22.51,22.45,-0.09,-0.02,10900,24493782.0,0.27,0.09,2025-12-04 14:00:00
22.49,22.53,22.55,22.49,0.18,0.04,2908,6551597.0,0.27,0.02,2025-12-04 14:05:00
22.53,22.55,22.55,22.52,0.09,0.02,2240,5048174.0,0.13,0.02,2025-12-04 14:10:00
22.55,22.58,22.6,22.55,0.13,0.03,4751,10726559.0,0.22,0.04,2025-12-04 14:15:00
22.57,22.57,22.57,22.53,-0.04,-0.01,3484,7857756.0,0.18,0.03,2025-12-04 14:20:00
22.57,22.52,22.57,22.52,-0.22,-0.05,2075,4676612.0,0.22,0.02,2025-12-04 14:25:00
22.52,22.55,22.55,22.49,0.13,0.03,6276,14122537.0,0.27,0.05,2025-12-04 14:30:00
22.56,22.54,22.56,22.5,-0.04,-0.01,4256,9593043.0,0.27,0.03,2025-12-04 14:35:00
22.54,22.51,22.55,22.51,-0.13,-0.03,2444,5506056.0,0.18,0.02,2025-12-04 14:40:00
22.52,22.52,22.53,22.51,0.04,0.01,4471,10068952.0,0.09,0.04,2025-12-04 14:45:00
22.51,22.51,22.53,22.49,-0.04,-0.01,6568,14784413.0,0.18,0.05,2025-12-04 14:50:00
22.51,22.5,22.52,22.49,-0.04,-0.01,7145,16077852.0,0.13,0.06,2025-12-04 14:55:00
22.5,22.53,22.53,22.5,0.13,0.03,6904,15547545.0,0.13,0.05,2025-12-04 15:00:00
22.51,22.48,22.61,22.46,-0.22,-0.05,13023,29321299.0,0.67,0.1,2025-12-05 09:35:00
22.48,22.42,22.48,22.38,-0.27,-0.06,9434,21150080.0,0.44,0.07,2025-12-05 09:40:00
22.43,22.39,22.49,22.39,-0.13,-0.03,6581,14752678.0,0.45,0.05,2025-12-05 09:45:00
22.38,22.51,22.52,22.35,0.54,0.12,8191,18362604.0,0.76,0.06,2025-12-05 09:50:00
22.5,22.82,23.06,22.5,1.38,0.31,38268,87394781.0,2.49,0.3,2025-12-05 09:55:00
22.84,22.94,22.95,22.76,0.53,0.12,22077,50439191.0,0.83,0.17,2025-12-05 10:00:00
22.93,22.88,22.94,22.86,-0.26,-0.06,10488,24010051.0,0.35,0.08,2025-12-05 10:05:00
22.87,22.84,22.87,22.79,-0.17,-0.04,9511,21707972.0,0.35,0.07,2025-12-05 10:10:00
22.82,22.83,22.84,22.78,-0.04,-0.01,6358,14502878.0,0.26,0.05,2025-12-05 10:15:00
22.83,22.88,22.91,22.8,0.22,0.05,10130,23156763.0,0.48,0.08,2025-12-05 10:20:00
22.87,22.87,22.94,22.85,-0.04,-0.01,7653,17521646.0,0.39,0.06,2025-12-05 10:25:00
22.86,22.78,22.88,22.77,-0.39,-0.09,5324,12152663.0,0.48,0.04,2025-12-05 10:30:00
22.77,22.8,22.82,22.75,0.09,0.02,3634,8277068.0,0.31,0.03,2025-12-05 10:35:00
22.8,22.86,22.88,22.79,0.26,0.06,15483,35386897.0,0.39,0.12,2025-12-05 10:40:00
22.85,22.87,22.87,22.8,0.04,0.01,4121,9411417.0,0.31,0.03,2025-12-05 10:45:00
22.86,22.98,23.06,22.86,0.48,0.11,62359,142964664.0,0.87,0.49,2025-12-05 10:50:00
23.0,23.03,23.03,22.98,0.22,0.05,14140,32538228.0,0.22,0.11,2025-12-05 10:55:00
23.03,22.96,23.03,22.94,-0.3,-0.07,11091,25511372.0,0.39,0.09,2025-12-05 11:00:00
22.97,22.92,22.99,22.91,-0.17,-0.04,4041,9277001.0,0.35,0.03,2025-12-05 11:05:00
22.91,22.95,22.96,22.88,0.13,0.03,4347,9962467.0,0.35,0.03,2025-12-05 11:10:00
22.94,22.94,22.96,22.9,-0.04,-0.01,4561,10460811.0,0.26,0.04,2025-12-05 11:15:00
22.93,22.98,23.0,22.93,0.17,0.04,5918,13591566.0,0.31,0.05,2025-12-05 11:20:00
22.98,22.93,22.99,22.92,-0.22,-0.05,3700,8494360.0,0.3,0.03,2025-12-05 11:25:00
