股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
600380,12.15,12.26,12.34,12.13,180457,220975896.0,1.68,-2.08,-0.26,0.99,2025-10-13
600380,12.26,12.11,12.33,12.09,193138,235783164.0,1.96,-1.22,-0.15,1.06,2025-10-14
600380,12.14,12.29,12.37,12.11,170254,208655532.0,2.15,1.49,0.18,0.93,2025-10-15
600380,12.25,12.23,12.36,12.19,121425,149023022.0,1.38,-0.49,-0.06,0.66,2025-10-16
600380,12.25,12.06,12.38,12.05,151094,184162672.0,2.7,-1.39,-0.17,0.83,2025-10-17
600380,12.15,12.06,12.17,11.98,169706,204633336.0,1.58,0.0,0.0,0.93,2025-10-20
600380,12.07,12.25,12.29,12.05,169612,206291415.0,1.99,1.58,0.19,0.93,2025-10-21
600380,12.24,12.24,12.34,12.2,118318,145091728.0,1.14,-0.08,-0.01,0.65,2025-10-22
600380,12.23,12.25,12.26,12.07,112053,136092170.0,1.55,0.08,0.01,0.61,2025-10-23
600380,12.22,12.1,12.29,12.07,151917,184332243.0,1.8,-1.22,-0.15,0.83,2025-10-24
600380,12.1,11.9,12.16,11.9,306008,366692773.0,2.15,-1.65,-0.2,1.67,2025-10-27
600380,11.94,11.86,11.94,11.84,144749,172025783.0,0.84,-0.34,-0.04,0.79,2025-10-28
600380,11.83,11.94,11.98,11.83,148269,176600635.0,1.26,0.67,0.08,0.81,2025-10-29
600380,11.96,11.88,12.01,11.88,145255,173494277.0,1.09,-0.5,-0.06,0.79,2025-10-30
600380,11.91,12.16,12.18,11.89,226499,273842308.0,2.44,2.36,0.28,1.24,2025-10-31
600380,12.15,12.17,12.2,12.06,162594,197366012.0,1.15,0.08,0.01,0.89,2025-11-03
600380,12.16,12.04,12.16,11.95,131723,158702036.0,1.73,-1.07,-0.13,0.72,2025-11-04
600380,11.97,12.09,12.17,11.96,108108,130800001.0,1.74,0.42,0.05,0.59,2025-11-05
600380,12.06,12.1,12.15,12.02,104035,125867916.0,1.08,0.08,0.01,0.57,2025-11-06
600380,12.05,12.36,12.38,12.05,123572,151479036.0,2.73,2.15,0.26,0.68,2025-11-07
