open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,timestamps
19.82,19.81,19.83,19.81,-0.05,-0.01,2686,5322585.0,0.1,0.01,2025-12-04 14:00:00
19.82,19.84,19.86,19.82,0.15,0.03,2400,4761035.0,0.2,0.01,2025-12-04 14:05:00
19.83,19.82,19.84,19.82,-0.1,-0.02,1550,3072674.0,0.1,0.01,2025-12-04 14:10:00
19.82,19.85,19.86,19.82,0.15,0.03,3540,7026583.0,0.2,0.01,2025-12-04 14:15:00
19.85,19.84,19.86,19.81,-0.05,-0.01,2109,4182691.0,0.25,0.01,2025-12-04 14:20:00
19.84,19.81,19.84,19.8,-0.15,-0.03,1888,3741746.0,0.2,0.01,2025-12-04 14:25:00
19.8,19.83,19.84,19.79,0.1,0.02,2898,5740334.0,0.25,0.01,2025-12-04 14:30:00
19.83,19.83,19.85,19.82,0.0,0.0,2354,4668385.0,0.15,0.01,2025-12-04 14:35:00
19.83,19.82,19.84,19.81,-0.05,-0.01,2779,5507249.0,0.15,0.01,2025-12-04 14:40:00
19.82,19.81,19.83,19.81,-0.05,-0.01,3592,7117328.0,0.1,0.01,2025-12-04 14:45:00
19.81,19.84,19.84,19.81,0.15,0.03,5637,11177173.0,0.15,0.02,2025-12-04 14:50:00
19.82,19.8,19.83,19.8,-0.2,-0.04,7435,14727389.0,0.15,0.03,2025-12-04 14:55:00
19.8,19.82,19.82,19.8,0.1,0.02,5878,11645245.0,0.1,0.02,2025-12-04 15:00:00
19.82,19.74,19.86,19.72,-0.4,-0.08,8621,17051690.0,0.71,0.04,2025-12-05 09:35:00
19.75,19.78,19.79,19.7,0.2,0.04,8464,16702668.0,0.46,0.03,2025-12-05 09:40:00
19.79,19.79,19.88,19.78,0.05,0.01,7023,13932962.0,0.51,0.03,2025-12-05 09:45:00
19.78,19.86,19.87,19.76,0.35,0.07,6316,12520723.0,0.56,0.03,2025-12-05 09:50:00
19.86,19.97,20.01,19.85,0.55,0.11,25775,51458436.0,0.81,0.11,2025-12-05 09:55:00
19.96,20.01,20.02,19.94,0.2,0.04,19049,38077322.0,0.4,0.08,2025-12-05 10:00:00
20.0,19.99,20.05,19.99,-0.1,-0.02,18243,36522355.0,0.3,0.07,2025-12-05 10:05:00
19.99,19.95,20.0,19.9,-0.2,-0.04,6273,12514297.0,0.5,0.03,2025-12-05 10:10:00
19.95,19.94,19.96,19.9,-0.05,-0.01,5914,11783474.0,0.3,0.02,2025-12-05 10:15:00
19.93,19.93,19.96,19.91,-0.05,-0.01,4280,8531183.0,0.25,0.02,2025-12-05 10:20:00
19.93,19.89,19.96,19.88,-0.2,-0.04,6263,12476912.0,0.4,0.03,2025-12-05 10:25:00
19.89,19.85,19.91,19.85,-0.2,-0.04,6713,13343885.0,0.3,0.03,2025-12-05 10:30:00
19.86,19.89,19.9,19.86,0.2,0.04,4269,8488148.0,0.2,0.02,2025-12-05 10:35:00
19.89,19.97,20.0,19.88,0.4,0.08,10640,21208054.0,0.6,0.04,2025-12-05 10:40:00
19.97,20.01,20.03,19.93,0.2,0.04,8564,17117516.0,0.5,0.04,2025-12-05 10:45:00
20.0,19.99,20.03,19.99,-0.1,-0.02,9864,19742675.0,0.2,0.04,2025-12-05 10:50:00
19.99,20.0,20.01,19.97,0.05,0.01,5226,10450060.0,0.2,0.02,2025-12-05 10:55:00
20.0,19.96,20.01,19.95,-0.2,-0.04,4206,8402738.0,0.3,0.02,2025-12-05 11:00:00
19.96,19.98,20.0,19.96,0.1,0.02,2972,5938616.0,0.2,0.01,2025-12-05 11:05:00
19.99,19.96,19.99,19.96,-0.1,-0.02,4213,8417958.0,0.15,0.02,2025-12-05 11:10:00
19.96,20.0,20.0,19.96,0.2,0.04,5757,11505990.0,0.2,0.02,2025-12-05 11:15:00
19.99,20.02,20.03,19.99,0.1,0.02,11644,23298775.0,0.2,0.05,2025-12-05 11:20:00
20.02,20.0,20.03,20.0,-0.1,-0.02,5719,11443928.0,0.15,0.02,2025-12-05 11:25:00
