open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,timestamps
137.5,135.12,137.5,134.87,0.79,1.06,223643,3043276820.0,1.96,1.12,2025-10-27 09:45:00
135.09,133.48,135.09,133.0,-1.21,-1.64,152728,2047312694.0,1.55,0.76,2025-10-27 10:00:00
133.5,133.94,134.4,132.51,0.34,0.46,83639,1114640103.0,1.42,0.42,2025-10-27 10:15:00
133.93,132.89,133.93,132.89,-0.78,-1.05,44387,591907873.0,0.78,0.22,2025-10-27 10:30:00
132.89,132.93,134.0,132.82,0.03,0.04,38896,518042029.0,0.89,0.19,2025-10-27 10:45:00
132.93,132.77,133.01,132.3,-0.12,-0.16,42328,561280610.0,0.53,0.21,2025-10-27 11:00:00
132.8,133.0,133.39,132.6,0.17,0.23,16808,223591297.0,0.6,0.08,2025-10-27 11:15:00
133.79,134.12,134.57,133.08,0.25,0.34,43726,585255970.0,1.11,0.22,2025-10-27 13:15:00
134.18,134.5,134.8,133.66,0.28,0.38,45326,608121907.0,0.85,0.23,2025-10-27 13:30:00
134.5,135.42,136.0,134.45,0.68,0.92,71045,960778017.0,1.15,0.36,2025-10-27 13:45:00
135.42,134.09,136.37,133.89,-0.98,-1.33,52398,709097606.0,1.83,0.26,2025-10-27 14:00:00
134.14,134.74,135.01,134.12,0.48,0.65,27437,369489831.0,0.66,0.14,2025-10-27 14:15:00
134.72,134.39,135.0,134.3,-0.26,-0.35,28486,383616813.0,0.52,0.14,2025-10-27 14:30:00
134.4,135.1,135.6,134.31,0.53,0.71,50396,679893331.0,0.96,0.25,2025-10-27 14:45:00
135.01,134.5,135.1,134.37,-0.44,-0.6,63075,848864837.0,0.54,0.32,2025-10-27 15:00:00
133.0,133.4,134.59,132.51,-0.82,-1.1,92826,1239201414.0,1.55,0.46,2025-10-28 09:45:00
133.41,135.08,135.15,132.84,1.26,1.68,75350,1007988168.0,1.73,0.38,2025-10-28 10:00:00
135.08,135.76,135.76,134.5,0.5,0.68,71567,966556080.0,0.93,0.36,2025-10-28 10:15:00
135.77,134.56,135.8,134.25,-0.88,-1.2,38883,524165636.0,1.14,0.19,2025-10-28 10:30:00
134.57,134.8,134.8,134.04,0.18,0.24,26002,349086157.0,0.56,0.13,2025-10-28 10:45:00
134.8,134.22,134.88,133.78,-0.43,-0.58,27955,374848358.0,0.82,0.14,2025-10-28 11:00:00
134.17,134.99,135.24,134.17,0.57,0.77,40941,551552680.0,0.8,0.2,2025-10-28 11:15:00
135.0,133.96,135.02,133.9,-0.79,-1.06,24942,335019045.0,0.83,0.12,2025-10-28 13:15:00
133.91,133.25,133.91,132.84,-0.53,-0.71,48517,646529990.0,0.8,0.24,2025-10-28 13:30:00
133.22,132.35,133.44,132.0,-0.68,-0.9,74025,980354190.0,1.08,0.37,2025-10-28 13:45:00
132.35,133.07,133.25,132.35,0.54,0.72,26622,353649576.0,0.68,0.13,2025-10-28 14:00:00
133.03,133.59,133.88,132.92,0.39,0.52,22155,295550709.0,0.72,0.11,2025-10-28 14:15:00
