股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
002174,11.36,11.49,11.54,11.25,276275,314985284.65,2.55,1.06,0.12,2.81,2025-09-29
002174,11.53,11.59,11.68,11.46,345660,399955173.26,1.91,0.87,0.1,3.52,2025-09-30
002174,11.66,11.5,11.7,11.44,319531,369181380.37,2.24,-0.78,-0.09,3.25,2025-10-09
002174,11.45,11.42,11.7,11.38,299479,344371774.71,2.78,-0.7,-0.08,3.05,2025-10-10
002174,11.05,11.21,11.29,10.88,333514,371456863.88,3.59,-1.84,-0.21,3.39,2025-10-13
002174,11.23,11.03,11.38,10.99,331721,370944687.35,3.48,-1.61,-0.18,3.38,2025-10-14
002174,11.09,11.28,11.3,10.96,290586,323709743.41,3.08,2.27,0.25,2.96,2025-10-15
002174,11.28,11.18,11.28,11.1,211205,235777366.29,1.6,-0.89,-0.1,2.15,2025-10-16
002174,11.12,11.06,11.29,11.03,283742,316860962.98,2.33,-1.07,-0.12,2.89,2025-10-17
002174,11.11,11.66,11.76,11.11,645682,741325740.09,5.88,5.42,0.6,6.57,2025-10-20
002174,11.67,12.41,12.57,11.61,953218,1170028085.37,8.23,6.43,0.75,9.7,2025-10-21
002174,12.44,12.98,13.18,12.44,954987,1222611946.13,5.96,4.59,0.57,9.72,2025-10-22
002174,12.84,12.82,12.89,12.47,516908,653088194.85,3.24,-1.23,-0.16,5.26,2025-10-23
002174,12.95,13.48,13.57,12.94,683275,912805895.51,4.91,5.15,0.66,6.95,2025-10-24
002174,13.59,12.69,13.62,12.42,956672,1224072319.9,8.9,-5.86,-0.79,9.73,2025-10-27
002174,12.67,13.03,13.25,12.54,584017,757715050.46,5.59,2.68,0.34,5.94,2025-10-28
002174,12.84,12.95,13.15,12.84,417555,542285179.36,2.38,-0.61,-0.08,4.25,2025-10-29
002174,12.95,12.8,13.04,12.58,435435,555356814.71,3.55,-1.16,-0.15,4.43,2025-10-30
002174,13.15,12.89,13.16,12.6,459507,590960973.24,4.38,0.7,0.09,4.68,2025-10-31
002174,12.9,13.15,13.33,12.9,416883,549170649.31,3.34,2.02,0.26,4.24,2025-11-03
