open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,timestamps
13.26,13.42,13.44,13.26,1.36,0.18,49522,66268578.0,1.36,0.27,2025-10-20 09:45:00
13.42,13.39,13.43,13.37,-0.22,-0.03,19192,25723765.0,0.45,0.1,2025-10-20 10:00:00
13.39,13.36,13.4,13.36,-0.22,-0.03,13010,17400950.0,0.3,0.07,2025-10-20 10:15:00
13.36,13.42,13.42,13.34,0.45,0.06,15418,20623311.0,0.6,0.08,2025-10-20 10:30:00
13.41,13.41,13.46,13.4,-0.07,-0.01,20082,26964214.0,0.45,0.11,2025-10-20 10:45:00
13.41,13.4,13.42,13.38,-0.07,-0.01,7891,10575492.0,0.3,0.04,2025-10-20 11:00:00
13.4,13.41,13.42,13.37,0.07,0.01,7245,9699589.0,0.37,0.04,2025-10-20 11:15:00
13.46,13.45,13.5,13.44,-0.15,-0.02,14060,18942549.0,0.45,0.08,2025-10-20 13:15:00
13.44,13.44,13.46,13.42,-0.07,-0.01,7459,10023652.0,0.3,0.04,2025-10-20 13:30:00
13.44,13.4,13.44,13.4,-0.3,-0.04,7573,10158791.0,0.3,0.04,2025-10-20 13:45:00
13.4,13.45,13.45,13.4,0.37,0.05,5869,7883209.0,0.37,0.03,2025-10-20 14:00:00
13.43,13.41,13.45,13.4,-0.3,-0.04,8355,11221396.0,0.37,0.04,2025-10-20 14:15:00
13.41,13.42,13.43,13.38,0.07,0.01,9888,13254778.0,0.37,0.05,2025-10-20 14:30:00
13.43,13.43,13.43,13.4,0.07,0.01,9990,13404734.0,0.22,0.05,2025-10-20 14:45:00
13.43,13.45,13.45,13.42,0.15,0.02,20019,26896952.0,0.22,0.11,2025-10-20 15:00:00
13.45,13.46,13.48,13.39,0.07,0.01,29468,39560653.0,0.67,0.16,2025-10-21 09:45:00
13.46,13.52,13.52,13.45,0.45,0.06,23495,31660282.0,0.52,0.13,2025-10-21 10:00:00
13.51,13.48,13.52,13.47,-0.3,-0.04,10220,13785911.0,0.37,0.05,2025-10-21 10:15:00
13.48,13.55,13.56,13.48,0.52,0.07,20516,27758906.0,0.59,0.11,2025-10-21 10:30:00
13.56,13.54,13.56,13.52,-0.07,-0.01,13886,18803523.0,0.3,0.07,2025-10-21 10:45:00
13.54,13.5,13.54,13.5,-0.3,-0.04,8098,10952014.0,0.3,0.04,2025-10-21 11:00:00
13.5,13.54,13.54,13.5,0.3,0.04,8238,11137453.0,0.3,0.04,2025-10-21 11:15:00
13.57,13.59,13.62,13.55,0.15,0.02,16629,22579849.0,0.52,0.09,2025-10-21 13:15:00
13.59,13.61,13.65,13.58,0.15,0.02,16351,22269294.0,0.52,0.09,2025-10-21 13:30:00
13.6,13.6,13.62,13.59,-0.07,-0.01,7648,10404826.0,0.22,0.04,2025-10-21 13:45:00
13.61,13.61,13.62,13.59,0.07,0.01,9305,12656226.0,0.22,0.05,2025-10-21 14:00:00
13.61,13.62,13.63,13.6,0.07,0.01,9466,12890040.0,0.22,0.05,2025-10-21 14:15:00
13.62,13.62,13.63,13.61,0.0,0.0,11203,15260098.0,0.15,0.06,2025-10-21 14:30:00
13.63,13.65,13.65,13.62,0.22,0.03,19294,26307757.0,0.22,0.1,2025-10-21 14:45:00
13.64,13.62,13.65,13.61,-0.22,-0.03,25914,35314867.0,0.29,0.14,2025-10-21 15:00:00
