股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
002624,19.05,19.16,19.47,18.81,355176,681046120.96,3.44,-0.16,-0.03,1.94,2025-09-29
002624,19.25,19.16,19.35,18.66,351439,671099441.2,3.6,0.0,0.0,1.92,2025-09-30
002624,19.07,18.49,19.17,18.15,569404,1052923692.71,5.32,-3.5,-0.67,3.12,2025-10-09
002624,18.4,17.82,18.76,17.71,395722,715202507.28,5.68,-3.62,-0.67,2.17,2025-10-10
002624,17.11,17.66,18.05,17.0,381933,673089770.36,5.89,-0.9,-0.16,2.09,2025-10-13
002624,17.75,17.15,18.1,17.1,342838,600985969.31,5.66,-2.89,-0.51,1.88,2025-10-14
002624,17.2,17.4,17.43,16.5,364473,625178398.06,5.42,1.46,0.25,1.99,2025-10-15
002624,17.33,16.94,17.45,16.9,289544,495250394.98,3.16,-2.64,-0.46,1.58,2025-10-16
002624,16.87,16.58,17.09,16.55,287105,478879176.63,3.19,-2.13,-0.36,1.57,2025-10-17
002624,16.8,17.02,17.17,16.72,291415,494966517.67,2.71,2.65,0.44,1.59,2025-10-20
002624,17.0,17.16,17.23,16.88,292508,499444629.59,2.06,0.82,0.14,1.6,2025-10-21
002624,17.08,17.21,17.43,17.02,237229,409201540.32,2.39,0.29,0.05,1.3,2025-10-22
002624,17.16,17.27,17.3,16.91,196877,336128240.7,2.27,0.35,0.06,1.08,2025-10-23
002624,17.35,17.3,17.45,17.04,211478,364267242.63,2.37,0.17,0.03,1.16,2025-10-24
002624,17.4,16.97,17.46,16.78,340608,578878771.2,3.93,-1.91,-0.33,1.86,2025-10-27
002624,16.92,16.94,17.28,16.78,276258,470015213.92,2.95,-0.18,-0.03,1.51,2025-10-28
002624,16.89,17.57,17.78,16.82,389883,681233540.82,5.67,3.72,0.63,2.13,2025-10-29
002624,17.69,16.96,17.74,16.86,387975,663463444.72,5.01,-3.47,-0.61,2.12,2025-10-30
002624,17.16,17.13,17.4,16.97,302251,520184164.48,2.54,1.0,0.17,1.65,2025-10-31
002624,17.4,17.5,17.89,17.3,418201,735984424.02,3.44,2.16,0.37,2.29,2025-11-03
