股票代码,数据点数,预测状态,错误信息,当前价格,预测1天,预测涨跌幅(%),信心度,建议,建议信心度,建议评分
600326,0,失败,无法从网络获取股票 600326 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
600380,0,失败,无法从网络获取股票 600380 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
600487,0,失败,无法从网络获取股票 600487 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
600498,0,失败,无法从网络获取股票 600498 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
601288,0,失败,无法从网络获取股票 601288 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
601606,0,失败,无法从网络获取股票 601606 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
603366,0,失败,无法从网络获取股票 603366 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
603936,0,失败,无法从网络获取股票 603936 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
000066,0,失败,无法从网络获取股票 000066 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
000532,0,失败,无法从网络获取股票 000532 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
000713,0,失败,无法从网络获取股票 000713 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
002174,0,失败,无法从网络获取股票 002174 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
002328,0,失败,无法从网络获取股票 002328 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
002624,0,失败,无法从网络获取股票 002624 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
002878,0,失败,无法从网络获取股票 002878 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
600036,0,失败,无法从网络获取股票 600036 的历史数据，请检查网络连接或股票代码是否正确,,,,,失败,未知,0
