股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
603366,9.85,9.7,9.88,9.65,139928,135810456.0,2.34,-1.32,-0.13,1.72,2025-09-22
603366,9.73,9.53,9.73,9.35,185132,175335376.0,3.92,-1.75,-0.17,2.28,2025-09-23
603366,9.51,9.62,9.62,9.4,103560,98945982.0,2.31,0.94,0.09,1.27,2025-09-24
603366,9.6,9.76,9.91,9.54,182417,177995196.0,3.85,1.46,0.14,2.24,2025-09-25
603366,9.71,9.55,9.72,9.55,100511,96385431.0,1.74,-2.15,-0.21,1.24,2025-09-26
603366,9.5,9.42,9.51,9.31,116773,109817711.0,2.09,-1.36,-0.13,1.44,2025-09-29
603366,9.44,9.47,9.54,9.39,83567,79173134.0,1.59,0.53,0.05,1.03,2025-09-30
603366,9.5,9.46,9.54,9.38,108817,102803168.0,1.69,-0.11,-0.01,1.34,2025-10-09
603366,9.45,9.46,9.51,9.4,84267,79707981.0,1.16,0.0,0.0,1.04,2025-10-10
603366,9.11,9.29,9.3,9.0,132425,121666464.0,3.17,-1.8,-0.17,1.63,2025-10-13
603366,9.3,9.32,9.48,9.26,126480,118494908.0,2.37,0.32,0.03,1.56,2025-10-14
603366,9.36,9.44,9.44,9.23,96491,90142661.0,2.25,1.29,0.12,1.19,2025-10-15
603366,9.53,9.43,9.61,9.41,116041,110205379.0,2.12,-0.11,-0.01,1.43,2025-10-16
603366,9.43,9.19,9.45,9.18,106539,98981814.0,2.86,-2.55,-0.24,1.31,2025-10-17
603366,9.23,9.18,9.29,9.12,86204,79074836.0,1.85,-0.11,-0.01,1.06,2025-10-20
603366,9.19,9.27,9.27,9.11,81181,74638891.0,1.74,0.98,0.09,1.0,2025-10-21
603366,9.24,9.25,9.3,9.18,34039,31515735.0,1.29,-0.22,-0.02,0.42,2025-10-22
