股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
000066,17.02,17.51,17.55,16.79,2024449,3507426837.35,4.51,3.98,0.67,6.28,2025-09-22
000066,17.52,17.06,17.53,16.55,1590055,2691883522.8,5.6,-2.57,-0.45,4.93,2025-09-23
000066,16.81,17.34,17.45,16.7,1478636,2536980526.95,4.4,1.64,0.28,4.58,2025-09-24
000066,17.29,17.81,18.15,17.18,2389879,4249890769.06,5.59,2.71,0.47,7.41,2025-09-25
000066,17.7,17.07,17.73,17.07,1431924,2482357943.89,3.71,-4.15,-0.74,4.44,2025-09-26
000066,17.0,16.97,17.18,16.67,925337,1564926794.45,2.99,-0.59,-0.1,2.87,2025-09-29
000066,17.08,16.94,17.25,16.87,856672,1458426686.03,2.24,-0.18,-0.03,2.66,2025-09-30
000066,17.02,17.46,17.7,17.02,1625395,2837436287.64,4.01,3.07,0.52,5.04,2025-10-09
000066,17.35,16.71,17.36,16.64,1295529,2188719558.99,4.12,-4.3,-0.75,4.02,2025-10-10
000066,16.51,17.6,17.82,16.51,2395455,4200029811.4,7.84,5.33,0.89,7.43,2025-10-13
000066,17.3,16.88,17.56,16.8,1845831,3161733054.88,4.32,-4.09,-0.72,5.72,2025-10-14
000066,16.86,16.81,17.18,16.36,1154393,1936136591.34,4.86,-0.41,-0.07,3.58,2025-10-15
000066,16.62,16.26,16.68,16.25,968831,1588160939.9,2.56,-3.27,-0.55,3.0,2025-10-16
000066,16.31,15.96,16.37,15.84,719905,1156469630.69,3.26,-1.85,-0.3,2.23,2025-10-17
000066,16.16,16.01,16.23,15.86,518343,832311449.15,2.32,0.31,0.05,1.61,2025-10-20
000066,15.97,16.23,16.35,15.92,591090,955152503.65,2.69,1.37,0.22,1.83,2025-10-21
000066,16.12,16.06,16.16,16.01,212349,341718260.76,0.92,-1.05,-0.17,0.66,2025-10-22
