open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,timestamps
11.11,11.37,11.48,11.11,2.8,0.31,118308,134133623.0,3.35,1.2,2025-10-20 09:45:00
11.37,11.46,11.5,11.35,0.79,0.09,76767,87828339.0,1.32,0.78,2025-10-20 10:00:00
11.46,11.43,11.48,11.41,-0.26,-0.03,39673,45416185.0,0.61,0.4,2025-10-20 10:15:00
11.44,11.4,11.44,11.38,-0.26,-0.03,19046,21714524.0,0.52,0.19,2025-10-20 10:30:00
11.4,11.4,11.41,11.37,0.0,0.0,12937,14732236.0,0.35,0.13,2025-10-20 10:45:00
11.4,11.4,11.43,11.38,0.0,0.0,11412,13011009.0,0.44,0.12,2025-10-20 11:00:00
11.39,11.47,11.48,11.38,0.61,0.07,21615,24711810.0,0.88,0.22,2025-10-20 11:15:00
11.52,11.4,11.52,11.39,-1.21,-0.14,26240,30054080.0,1.13,0.27,2025-10-20 13:15:00
11.41,11.38,11.45,11.35,-0.18,-0.02,24110,27471650.0,0.88,0.25,2025-10-20 13:30:00
11.38,11.49,11.49,11.35,0.97,0.11,20140,22963325.0,1.23,0.2,2025-10-20 13:45:00
11.49,11.54,11.57,11.46,0.44,0.05,29291,33755107.0,0.96,0.3,2025-10-20 14:00:00
11.54,11.48,11.57,11.47,-0.52,-0.06,22350,25775942.0,0.87,0.23,2025-10-20 14:15:00
11.47,11.5,11.52,11.45,0.17,0.02,17355,19929607.0,0.61,0.18,2025-10-20 14:30:00
11.51,11.66,11.67,11.49,1.39,0.16,54921,63629588.0,1.57,0.56,2025-10-20 14:45:00
11.66,11.66,11.76,11.63,0.0,0.0,89942,105033338.0,1.11,0.92,2025-10-20 15:00:00
11.67,12.2,12.21,11.61,4.63,0.54,238191,285658163.0,5.15,2.42,2025-10-21 09:45:00
12.2,12.37,12.5,12.16,1.39,0.17,169055,208409578.0,2.79,1.72,2025-10-21 10:00:00
12.36,12.39,12.57,12.35,0.16,0.02,94295,117432862.0,1.78,0.96,2025-10-21 10:15:00
12.39,12.29,12.4,12.24,-0.81,-0.1,61837,76054495.0,1.29,0.63,2025-10-21 10:30:00
12.28,12.25,12.39,12.23,-0.33,-0.04,31608,38858522.0,1.3,0.32,2025-10-21 10:45:00
12.24,12.2,12.24,12.15,-0.41,-0.05,38923,47443608.0,0.73,0.4,2025-10-21 11:00:00
12.2,12.28,12.32,12.17,0.66,0.08,25483,31204252.0,1.23,0.26,2025-10-21 11:15:00
12.32,12.36,12.5,12.32,0.49,0.06,39250,48609169.0,1.46,0.4,2025-10-21 13:15:00
12.36,12.41,12.47,12.33,0.4,0.05,26818,33288222.0,1.13,0.27,2025-10-21 13:30:00
12.42,12.49,12.5,12.4,0.64,0.08,37153,46260093.0,0.81,0.38,2025-10-21 13:45:00
12.49,12.46,12.53,12.45,-0.24,-0.03,37101,46333162.0,0.64,0.38,2025-10-21 14:00:00
12.47,12.46,12.5,12.46,0.0,0.0,18571,23164972.0,0.32,0.19,2025-10-21 14:15:00
12.47,12.43,12.48,12.41,-0.24,-0.03,20568,25589347.0,0.56,0.21,2025-10-21 14:30:00
12.42,12.42,12.45,12.41,-0.08,-0.01,23718,29482658.0,0.32,0.24,2025-10-21 14:45:00
12.41,12.41,12.42,12.36,-0.08,-0.01,60625,75133821.0,0.48,0.62,2025-10-21 15:00:00
12.44,12.64,12.76,12.44,1.85,0.23,226977,286481112.0,2.58,2.31,2025-10-22 09:45:00
12.65,12.64,12.73,12.61,0.0,0.0,62808,79539284.0,0.95,0.64,2025-10-22 10:00:00
12.64,12.63,12.66,12.58,-0.08,-0.01,47806,60299398.0,0.63,0.49,2025-10-22 10:15:00
12.65,12.73,12.75,12.63,0.79,0.1,46798,59494503.0,0.95,0.48,2025-10-22 10:30:00
12.73,12.77,12.83,12.73,0.31,0.04,57760,73819844.0,0.79,0.59,2025-10-22 10:45:00
12.78,12.71,12.82,12.71,-0.47,-0.06,27485,35100294.0,0.86,0.28,2025-10-22 11:00:00
12.71,12.8,12.8,12.66,0.71,0.09,30554,38841319.0,1.1,0.31,2025-10-22 11:15:00
