股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
600326,13.18,12.61,13.25,12.31,1292404,1632673463.0,7.05,-5.4,-0.72,9.68,2025-09-23
600326,12.54,12.52,12.57,12.34,658250,820161234.0,1.82,-0.71,-0.09,4.93,2025-09-24
600326,12.6,12.33,12.68,12.33,564678,703813990.0,2.8,-1.52,-0.19,4.23,2025-09-25
600326,12.29,12.23,12.43,12.18,480247,590847986.0,2.03,-0.81,-0.1,3.6,2025-09-26
600326,12.22,12.15,12.22,11.88,606130,732084230.0,2.78,-0.65,-0.08,4.54,2025-09-29
600326,12.15,12.2,12.26,12.13,335176,408713837.0,1.07,0.41,0.05,2.51,2025-09-30
600326,12.23,12.3,12.33,12.16,454162,556859307.0,1.39,0.82,0.1,3.4,2025-10-09
600326,12.31,12.87,13.37,12.27,1838163,2368271409.0,8.94,4.63,0.57,13.76,2025-10-10
600326,12.31,12.92,13.1,12.27,1016795,1292852314.0,6.45,0.39,0.05,7.61,2025-10-13
600326,13.0,12.83,13.28,12.75,989484,1287131295.0,4.1,-0.7,-0.09,7.41,2025-10-14
600326,12.87,12.92,13.08,12.68,631782,812062701.0,3.12,0.7,0.09,4.73,2025-10-15
600326,12.81,12.29,12.82,12.26,739577,920365072.0,4.33,-4.88,-0.63,5.54,2025-10-16
600326,12.28,12.07,12.77,12.0,755089,936877704.0,6.27,-1.79,-0.22,5.65,2025-10-17
600326,12.07,12.1,12.27,11.97,486889,589075622.0,2.49,0.25,0.03,3.64,2025-10-20
600326,12.08,12.3,12.33,12.05,575770,705519828.0,2.31,1.65,0.2,4.31,2025-10-21
600326,12.22,12.33,12.58,12.22,665427,825831362.0,2.93,0.24,0.03,4.98,2025-10-22
600326,12.32,11.93,12.39,11.92,477781,577933175.0,3.81,-3.24,-0.4,3.58,2025-10-23
