股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
600487,22.68,22.87,23.06,21.97,1703969,3868771765.0,4.76,-0.13,-0.03,6.97,2025-09-22
600487,23.1,22.04,23.3,21.56,1616446,3579084467.0,7.61,-3.63,-0.83,6.61,2025-09-23
600487,21.88,22.61,22.84,21.58,1417388,3148563019.0,5.72,2.59,0.57,5.8,2025-09-24
600487,22.62,22.93,23.0,22.1,1410805,3196383893.0,3.98,1.42,0.32,5.77,2025-09-25
600487,22.73,22.78,23.56,22.63,1368342,3156353961.0,4.06,-0.65,-0.15,5.6,2025-09-26
600487,22.7,23.13,23.5,22.66,1139627,2634106382.0,3.69,1.54,0.35,4.66,2025-09-29
600487,23.2,22.97,23.69,22.79,1169028,2706109689.0,3.89,-0.69,-0.16,4.78,2025-09-30
600487,22.99,24.11,24.48,22.98,1472793,3499377503.0,6.53,4.96,1.14,6.02,2025-10-09
600487,23.81,22.56,23.81,22.46,1299357,2988912958.0,5.6,-6.43,-1.55,5.31,2025-10-10
600487,21.1,22.15,22.29,21.1,907778,1976220331.0,5.27,-1.82,-0.41,3.71,2025-10-13
600487,22.26,20.83,22.54,20.76,1154962,2483312681.0,8.04,-5.96,-1.32,4.72,2025-10-14
600487,20.97,21.75,21.79,20.84,822491,1758426398.0,4.56,4.42,0.92,3.36,2025-10-15
600487,21.88,21.38,21.88,21.3,486325,1046021586.0,2.67,-1.7,-0.37,1.99,2025-10-16
600487,21.79,20.4,21.87,20.32,708254,1476060793.0,7.25,-4.58,-0.98,2.9,2025-10-17
600487,20.76,20.6,21.17,20.51,501422,1042615820.0,3.24,0.98,0.2,2.05,2025-10-20
600487,20.77,20.99,21.14,20.7,638194,1336987763.0,2.14,1.89,0.39,2.61,2025-10-21
600487,21.3,20.95,21.36,20.62,351879,737321977.0,3.53,-0.19,-0.04,1.44,2025-10-22
