股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
600498,29.8,29.65,30.85,29.0,1278454,3811810070.0,6.19,-0.77,-0.23,10.96,2025-09-22
600498,29.75,28.06,30.0,27.2,1232556,3480106020.0,9.44,-5.36,-1.59,10.57,2025-09-23
600498,28.09,28.49,28.8,27.71,812970,2300787113.0,3.88,1.53,0.43,6.97,2025-09-24
600498,28.4,29.14,29.83,28.27,941453,2739720530.0,5.48,2.28,0.65,8.07,2025-09-25
600498,29.14,28.15,29.68,28.13,590805,1696546261.0,5.32,-3.4,-0.99,5.06,2025-09-26
600498,28.0,27.98,28.29,27.49,492280,1371515901.0,2.84,-0.6,-0.17,4.22,2025-09-29
600498,28.59,27.45,28.71,27.33,525761,1459273673.0,4.93,-1.89,-0.53,4.44,2025-09-30
600498,27.49,27.81,28.5,27.49,644424,1802668992.0,3.68,1.31,0.36,5.44,2025-10-09
600498,27.51,27.25,27.95,26.83,555186,1516254398.0,4.03,-2.01,-0.56,4.69,2025-10-10
600498,26.0,26.85,27.19,25.9,426142,1130244466.0,4.73,-1.47,-0.4,3.6,2025-10-13
600498,26.9,25.24,27.18,25.09,591058,1534573171.0,7.78,-6.0,-1.61,4.99,2025-10-14
600498,25.35,26.25,26.88,25.29,643847,1689127382.0,6.3,4.0,1.01,5.43,2025-10-15
600498,26.38,26.62,27.15,26.04,579614,1546902631.0,4.23,1.41,0.37,4.89,2025-10-16
600498,27.15,25.55,27.29,25.51,470607,1235458191.0,6.69,-4.02,-1.07,3.97,2025-10-17
600498,25.9,25.83,26.6,25.57,348638,906667548.0,4.03,1.1,0.28,2.94,2025-10-20
600498,25.66,26.15,26.39,25.49,381088,991382246.0,3.48,1.24,0.32,3.22,2025-10-21
600498,25.96,25.69,25.99,25.57,144442,372767574.0,1.61,-1.76,-0.46,1.22,2025-10-22
