股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
002174,12.13,11.87,12.23,11.72,466275,555618636.88,4.2,-2.14,-0.26,4.74,2025-09-22
002174,11.81,11.34,11.86,11.05,720976,813307347.57,6.82,-4.47,-0.53,7.34,2025-09-23
002174,11.27,11.67,11.74,11.18,465230,535015241.54,4.94,2.91,0.33,4.73,2025-09-24
002174,11.64,11.81,12.05,11.61,483752,575549741.55,3.77,1.2,0.14,4.92,2025-09-25
002174,11.76,11.37,11.77,11.35,337757,388785042.69,3.56,-3.73,-0.44,3.44,2025-09-26
002174,11.36,11.49,11.54,11.25,276275,314985284.65,2.55,1.06,0.12,2.81,2025-09-29
002174,11.53,11.59,11.68,11.46,345660,399955173.26,1.91,0.87,0.1,3.52,2025-09-30
002174,11.66,11.5,11.7,11.44,319531,369181380.37,2.24,-0.78,-0.09,3.25,2025-10-09
002174,11.45,11.42,11.7,11.38,299479,344371774.71,2.78,-0.7,-0.08,3.05,2025-10-10
002174,11.05,11.21,11.29,10.88,333514,371456863.88,3.59,-1.84,-0.21,3.39,2025-10-13
002174,11.23,11.03,11.38,10.99,331721,370944687.35,3.48,-1.61,-0.18,3.38,2025-10-14
002174,11.09,11.28,11.3,10.96,290586,323709743.41,3.08,2.27,0.25,2.96,2025-10-15
002174,11.28,11.18,11.28,11.1,211205,235777366.29,1.6,-0.89,-0.1,2.15,2025-10-16
002174,11.12,11.06,11.29,11.03,283742,316860962.98,2.33,-1.07,-0.12,2.89,2025-10-17
002174,11.11,11.66,11.76,11.11,645682,741325740.09,5.88,5.42,0.6,6.57,2025-10-20
002174,11.67,12.41,12.57,11.61,953218,1170028085.37,8.23,6.43,0.75,9.7,2025-10-21
002174,12.44,12.74,12.85,12.44,533553,676203098.56,3.3,2.66,0.33,5.43,2025-10-22
