股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
600380,12.75,12.5,12.95,12.44,250843,316862583.0,4.02,-1.42,-0.18,1.37,2025-09-22
600380,12.47,12.33,12.51,12.12,251868,308659441.0,3.12,-1.36,-0.17,1.38,2025-09-23
600380,12.3,12.45,12.52,12.25,175354,217600921.0,2.19,0.97,0.12,0.96,2025-09-24
600380,12.42,12.36,12.54,12.31,163105,202253161.0,1.85,-0.72,-0.09,0.89,2025-09-25
600380,12.25,12.24,12.34,12.12,164112,200591024.0,1.78,-0.97,-0.12,0.9,2025-09-26
600380,12.23,12.34,12.45,12.09,167852,205219559.0,2.94,0.82,0.1,0.92,2025-09-29
600380,12.48,12.48,12.61,12.41,153941,192447655.0,1.62,1.13,0.14,0.84,2025-09-30
600380,12.46,12.55,12.55,12.33,157021,195334960.0,1.76,0.56,0.07,0.86,2025-10-09
600380,12.49,12.52,12.62,12.45,153959,192852620.0,1.35,-0.24,-0.03,0.84,2025-10-10
600380,12.15,12.26,12.34,12.13,180457,220975896.0,1.68,-2.08,-0.26,0.99,2025-10-13
600380,12.26,12.11,12.33,12.09,193138,235783164.0,1.96,-1.22,-0.15,1.06,2025-10-14
600380,12.14,12.29,12.37,12.11,170254,208655532.0,2.15,1.49,0.18,0.93,2025-10-15
600380,12.25,12.23,12.36,12.19,121425,149023022.0,1.38,-0.49,-0.06,0.66,2025-10-16
600380,12.25,12.06,12.38,12.05,151094,184162672.0,2.7,-1.39,-0.17,0.83,2025-10-17
600380,12.15,12.06,12.17,11.98,169706,204633336.0,1.58,0.0,0.0,0.93,2025-10-20
600380,12.07,12.25,12.29,12.05,169612,206291415.0,1.99,1.58,0.19,0.93,2025-10-21
600380,12.24,12.23,12.34,12.2,75075,92062673.0,1.14,-0.16,-0.02,0.41,2025-10-22
